날짜,구분,카테고리,항목,금액
2026-03-01,비용,임대료,3월 임대료,1200000
2026-03-02,비용,재료비,원두·우유·재료,1540000
2026-03-08,매출,음료,주중 음료 매출,2300000
2026-03-12,비용,마케팅,인스타 광고,300000
2026-03-18,매출,디저트,케이크·쿠키,1820000
2026-03-22,매출,음료,주말 음료 매출,2050000
2026-03-25,비용,인건비,아르바이트 급여,1760000
2026-03-28,매출,원두판매,원두 소매,640000
2026-04-01,비용,임대료,4월 임대료,1200000
2026-04-02,비용,재료비,원두·우유·재료,1680000
2026-04-09,매출,음료,주중 음료 매출,2560000
2026-04-14,비용,마케팅,인스타 광고·전단,450000
2026-04-17,매출,디저트,케이크·쿠키,1990000
2026-04-21,매출,음료,주말 음료 매출,2280000
2026-04-25,비용,인건비,아르바이트 급여,1820000
2026-04-27,매출,원두판매,원두 소매,720000
2026-05-01,비용,임대료,5월 임대료,1200000
2026-05-02,비용,재료비,원두·우유·재료,1850000
2026-05-10,매출,음료,주중 음료 매출,2940000
2026-05-13,비용,마케팅,인스타 광고,500000
2026-05-19,매출,디저트,케이크·쿠키,2250000
2026-05-24,매출,음료,주말 음료 매출,2600000
2026-05-26,비용,인건비,아르바이트 급여,1950000
2026-05-29,매출,원두판매,원두 소매,820000
